inst,instLabel,ror
http://www.wikidata.org/entity/Q687709,Latvijas Banka,000cf1839
http://www.wikidata.org/entity/Q850355,Rīgas Juridiskā augstskola,05wh3xd46
http://www.wikidata.org/entity/Q411895,Rīgas Tehniskā universitāte,00twb6c09
http://www.wikidata.org/entity/Q498407,Latvijas Universitāte,05g3mes96
http://www.wikidata.org/entity/Q4201643,Latvijas Organiskās sintēzes institūts,01a92vw29
http://www.wikidata.org/entity/Q4201765,Transporta un sakaru institūts,01628w679
http://www.wikidata.org/entity/Q4254869,Latvijas Jūras akadēmija,00xxekd18
http://www.wikidata.org/entity/Q4254872,Latvijas Kultūras akadēmija,03f18y477
http://www.wikidata.org/entity/Q3498695,Liepājas Universitāte,01gzemj61
http://www.wikidata.org/entity/Q3801493,RTU Rēzeknes akadēmija,04d6the49
http://www.wikidata.org/entity/Q3801493,RTU Rēzeknes akadēmija,0510ppv76
http://www.wikidata.org/entity/Q3931927,Rīgas Ekonomikas augstskola,00qaje814
